"Nombre" "Plataforma" "Fecha" "Genero" "VentasEEUU" "VentasEU" "VentasJP" "VentasOtros" "Ventas"
"1" "Wii Sports" "Wii" "2006" "Sports" 41.49 29.02 3.77 8.46 82.74
"3" "Mario Kart Wii" "Wii" "2008" "Racing" 15.85 12.88 3.79 3.31 35.82
"4" "Wii Sports Resort" "Wii" "2009" "Sports" 15.75 11.01 3.28 2.96 33
"7" "New Super Mario Bros." "DS" "2006" "Platform" 11.38 9.23 6.5 2.9 30.01
"8" "Wii Play" "Wii" "2006" "Misc" 14.03 9.2 2.93 2.85 29.02
"9" "New Super Mario Bros. Wii" "Wii" "2009" "Platform" 14.59 7.06 4.7 2.26 28.62
"11" "Nintendogs" "DS" "2005" "Simulation" 9.07 11 1.93 2.75 24.76
"12" "Mario Kart DS" "DS" "2005" "Racing" 9.81 7.57 4.13 1.92 23.42
"14" "Wii Fit" "Wii" "2007" "Sports" 8.94 8.03 3.6 2.15 22.72
"15" "Wii Fit Plus" "Wii" "2009" "Sports" 9.09 8.59 2.53 1.79 22
"16" "Kinect Adventures!" "X360" "2010" "Misc" 14.97 4.94 0.24 1.67 21.82
"17" "Grand Theft Auto V" "PS3" "2013" "Action" 7.01 9.27 0.97 4.14 21.4
"18" "Grand Theft Auto: San Andreas" "PS2" "2004" "Action" 9.43 0.4 0.41 10.57 20.81
"19" "Super Mario World" "SNES" "1990" "Platform" 12.78 3.75 3.54 0.55 20.61
"20" "Brain Age: Train Your Brain in Minutes a Day" "DS" "2005" "Misc" 4.75 9.26 4.16 2.05 20.22
"21" "Pokemon Diamond/Pokemon Pearl" "DS" "2006" "Role-Playing" 6.42 4.52 6.04 1.37 18.36
"24" "Grand Theft Auto V" "X360" "2013" "Action" 9.63 5.31 0.06 1.38 16.38
"25" "Grand Theft Auto: Vice City" "PS2" "2002" "Action" 8.41 5.49 0.47 1.78 16.15
"26" "Pokemon Ruby/Pokemon Sapphire" "GBA" "2002" "Role-Playing" 6.06 3.9 5.38 0.5 15.85
"27" "Pokemon Black/Pokemon White" "DS" "2010" "Role-Playing" 5.57 3.28 5.65 0.82 15.32
"28" "Brain Age 2: More Training in Minutes a Day" "DS" "2005" "Puzzle" 3.44 5.36 5.32 1.18 15.3
"29" "Gran Turismo 3: A-Spec" "PS2" "2001" "Racing" 6.85 5.09 1.87 1.16 14.98
"30" "Call of Duty: Modern Warfare 3" "X360" "2011" "Shooter" 9.03 4.28 0.13 1.32 14.76
"32" "Call of Duty: Black Ops" "X360" "2010" "Shooter" 9.67 3.73 0.11 1.13 14.64
"33" "Pokemon X/Pokemon Y" "3DS" "2013" "Role-Playing" 5.17 4.05 4.34 0.79 14.35
"34" "Call of Duty: Black Ops 3" "PS4" "2015" "Shooter" 5.77 5.81 0.35 2.31 14.24
"35" "Call of Duty: Black Ops II" "PS3" "2012" "Shooter" 4.99 5.88 0.65 2.52 14.03
"36" "Call of Duty: Black Ops II" "X360" "2012" "Shooter" 8.25 4.3 0.07 1.12 13.73
"37" "Call of Duty: Modern Warfare 2" "X360" "2009" "Shooter" 8.52 3.63 0.08 1.29 13.51
"38" "Call of Duty: Modern Warfare 3" "PS3" "2011" "Shooter" 5.54 5.82 0.49 1.62 13.46
"39" "Grand Theft Auto III" "PS2" "2001" "Action" 6.99 4.51 0.3 1.3 13.1
