Número: 99130, Premio: 1000
Número: 50981, Premio: 1000
Número: 48747, Premio: 1000
Número: 11512, Premio: 1000
Número: 31863, Premio: 1000
Número: 63276, Premio: 1000
Número: 26359, Premio: 1000
Número: 70077, Premio: 1000
Número: 87374, Premio: 1000
Número: 84165, Premio: 1000
Número: 54130, Premio: 1000
Número: 19551, Premio: 1000
Número: 17125, Premio: 1000
Número: 36874, Premio: 1000
Número: 18062, Premio: 1000
Número: 2434, Premio: 1000
Número: 17993, Premio: 1000
Número: 84458, Premio: 1000
Número: 77726, Premio: 1000
Número: 74644, Premio: 1000
Número: 11955, Premio: 1000
Número: 63689, Premio: 1000
Número: 85617, Premio: 1000
Número: 68659, Premio: 1000
Número: 58423, Premio: 1000
Número: 14911, Premio: 1000
Número: 73017, Premio: 1000
Número: 73543, Premio: 1000
Número: 25427, Premio: 1000
Número: 15545, Premio: 1000
Número: 427, Premio: 1000
Número: 64089, Premio: 1000
Número: 33687, Premio: 1000
Número: 95690, Premio: 1000
Número: 1807, Premio: 1000
Número: 61090, Premio: 1000
Número: 35480, Premio: 1000
Número: 67035, Premio: 1000
Número: 1835, Premio: 1000
Número: 17417, Premio: 1000
Número: 91609, Premio: 1000
Número: 49116, Premio: 1000
Número: 8553, Premio: 1000
Número: 79956, Premio: 1000
Número: 33334, Premio: 1000
Número: 59370, Premio: 1000
Número: 63797, Premio: 1000
Número: 45954, Premio: 1000
Número: 48783, Premio: 1000
Número: 35819, Premio: 1000
Número: 23977, Premio: 1000
Número: 91791, Premio: 1000
Número: 62574, Premio: 1000
Número: 78773, Premio: 1000
Número: 37726, Premio: 1000
Número: 96846, Premio: 1000
Número: 62382, Premio: 1000
Número: 967, Premio: 1000
Número: 42785, Premio: 1000
Número: 19982, Premio: 1000
Número: 70175, Premio: 1000
Número: 32745, Premio: 1000
Número: 62725, Premio: 1000
Número: 69301, Premio: 1000
Número: 49618, Premio: 1000
Número: 97568, Premio: 1000
Número: 71702, Premio: 1000
Número: 20333, Premio: 1000
Número: 68828, Premio: 1000
Número: 54493, Premio: 1000
Número: 34289, Premio: 1000
Número: 8703, Premio: 1000
Número: 66959, Premio: 1000
Número: 39950, Premio: 1000
Número: 20610, Premio: 1000
Número: 74472, Premio: 1000
Número: 83246, Premio: 1000
Número: 2229, Premio: 1000
Número: 55, Premio: 1000
Número: 60501, Premio: 1000
Número: 27200, Premio: 1000
Número: 42544, Premio: 1000
Número: 47806, Premio: 1000
Número: 9667, Premio: 1000
Número: 14773, Premio: 1000
Número: 34277, Premio: 1000
Número: 75027, Premio: 1000
Número: 46760, Premio: 1000
Número: 28155, Premio: 1000
Número: 59331, Premio: 1000
Número: 37815, Premio: 1000
Número: 29309, Premio: 1000
Número: 4862, Premio: 1000
Número: 98790, Premio: 1000
Número: 32358, Premio: 1000
Número: 98165, Premio: 1000
Número: 27016, Premio: 1000
Número: 53936, Premio: 1000
Número: 98496, Premio: 1000
Número: 69784, Premio: 1000
Número: 34309, Premio: 1000
Número: 20839, Premio: 1000
Número: 61629, Premio: 1000
Número: 33081, Premio: 1000
Número: 45683, Premio: 1000
Número: 99253, Premio: 1000
Número: 46010, Premio: 1000
Número: 2167, Premio: 1000
Número: 19611, Premio: 1000
Número: 54225, Premio: 1000
Número: 44574, Premio: 1000
Número: 22244, Premio: 1000
Número: 6466, Premio: 1000
Número: 66604, Premio: 1000
Número: 4287, Premio: 1000
Número: 46309, Premio: 1000
Número: 47459, Premio: 1000
Número: 84745, Premio: 1000
Número: 91485, Premio: 1000
Número: 22311, Premio: 1000
Número: 18636, Premio: 1000
Número: 64525, Premio: 1000
Número: 26504, Premio: 1000
Número: 64146, Premio: 1000
Número: 82628, Premio: 1000
Número: 21247, Premio: 1000
Número: 78661, Premio: 1000
Número: 13972, Premio: 1000
Número: 11871, Premio: 1000
Número: 87628, Premio: 1000
Número: 96583, Premio: 1000
Número: 57335, Premio: 1000
Número: 12993, Premio: 1000
Número: 73542, Premio: 1000
Número: 40826, Premio: 1000
Número: 59462, Premio: 1000
Número: 51623, Premio: 1000
Número: 88553, Premio: 1000
Número: 12910, Premio: 1000
Número: 56705, Premio: 1000
Número: 89672, Premio: 1000
Número: 20469, Premio: 1000
Número: 15532, Premio: 1000
Número: 51432, Premio: 1000
Número: 89093, Premio: 1000
Número: 67410, Premio: 1000
Número: 91276, Premio: 1000
Número: 82332, Premio: 1000
Número: 40604, Premio: 1000
Número: 84361, Premio: 1000
Número: 9094, Premio: 1000
Número: 47825, Premio: 1000
Número: 14987, Premio: 1000
Número: 10379, Premio: 1000
Número: 56229, Premio: 1000
Número: 51629, Premio: 1000
Número: 57330, Premio: 1000
Número: 57491, Premio: 1000
Número: 54950, Premio: 60000
Número: 59860, Premio: 1000
Número: 95173, Premio: 1000
Número: 93906, Premio: 1000
Número: 13899, Premio: 1000
Número: 92960, Premio: 1000
Número: 7554, Premio: 1000
Número: 50396, Premio: 1000
Número: 28074, Premio: 1000
Número: 16262, Premio: 1000
Número: 83756, Premio: 1000
Número: 51464, Premio: 1000
Número: 59660, Premio: 1000
Número: 6258, Premio: 1000
Número: 5007, Premio: 1000
Número: 63897, Premio: 1000
Número: 62907, Premio: 1000
Número: 85673, Premio: 1000
Número: 18198, Premio: 1000
Número: 4914, Premio: 1000
Número: 51380, Premio: 1000
Número: 47433, Premio: 1000
Número: 72456, Premio: 1000
Número: 17205, Premio: 1000
Número: 66444, Premio: 1000
Número: 20577, Premio: 1000
Número: 25119, Premio: 1000
Número: 47860, Premio: 1000
Número: 6124, Premio: 1000
Número: 63773, Premio: 1000
Número: 68321, Premio: 1000
Número: 75964, Premio: 1000
Número: 23107, Premio: 1000
Número: 9513, Premio: 1000
Número: 52761, Premio: 1000
Número: 99727, Premio: 1000
Número: 68312, Premio: 1000
Número: 18022, Premio: 1000
Número: 53881, Premio: 1000
Número: 28269, Premio: 1000
Número: 98983, Premio: 1000
Número: 85100, Premio: 1000
Número: 51037, Premio: 1000
Número: 1425, Premio: 1000
Número: 58092, Premio: 1000
Número: 8078, Premio: 1000
Número: 43487, Premio: 1000
Número: 7217, Premio: 1000
Número: 17865, Premio: 1000
Número: 39058, Premio: 1000
Número: 7903, Premio: 1000
Número: 32973, Premio: 1000
Número: 98535, Premio: 1000
Número: 42616, Premio: 1000
Número: 83924, Premio: 1000
Número: 11291, Premio: 1000
Número: 14558, Premio: 1000
Número: 8513, Premio: 1000
Número: 63661, Premio: 1000
Número: 97964, Premio: 1000
Número: 89329, Premio: 1000
Número: 8169, Premio: 1000
Número: 11615, Premio: 1000
Número: 96719, Premio: 1000
Número: 54349, Premio: 1000
Número: 42503, Premio: 1000
Número: 59038, Premio: 1000
Número: 86259, Premio: 1000
Número: 24079, Premio: 1000
Número: 59701, Premio: 1000
Número: 73396, Premio: 1000
Número: 28239, Premio: 1000
